Tag,Personality Bucket,Weight
2024 Yoga Summit Upsell Buyer,Holistic Wellness & Natural Living,10
Yoga Summit $7 Buyer,Holistic Wellness & Natural Living,10
Yoga Summit $17 Pkg Buyer,Holistic Wellness & Natural Living,10
HSS SUMMIT REGISTRATION,Targeted Health Solutions & Disease Management,5
HSS (FB) Registration,Targeted Health Solutions & Disease Management,5
Mastermind June 15,Entrepreneurship & Business Development,1
THYROID BOOTCAMP Buyer,Targeted Health Solutions & Disease Management,10
Save My Thyroid REG 0508,Targeted Health Solutions & Disease Management,1
MFS VIP Buyer,To Be Classified,0
2022 Keto Affiliate,"Fitness, Nutrition & Weight Management",3
Affiliate Marketing Mastermind,Entrepreneurship & Business Development,3
Fitness Mastery Summit Affiliate,"Fitness, Nutrition & Weight Management",3
FFM Segment 4,To Be Classified,0
Nonfiction Secrets Upsell #1 Buyer,Digital Marketing & Content Creation Skills,10
EMF Registration,Holistic Wellness & Natural Living,5
OPS 2021 BT Headset Upgrade,To Be Classified,0
FR-PrivateConsultation,To Be Classified,0
Lead Generation Super Summit VIP Buyer,Digital Marketing & Content Creation Skills,10
SpeakerFest - SpeakerTunity Members Only - Gold 6 Months,Digital Marketing & Content Creation Skills,1
emailtest,To Be Classified,0
Relationship Rescue 3 Day Challenge,Mental & Emotional Well-being,1
Copywriting Summit JV,Digital Marketing & Content Creation Skills,3
Energy Blueprint JV,Holistic Wellness & Natural Living,3
Customers For Life Program Buyer,To Be Classified,0
Acquisition Summit Buyer,To Be Classified,0
FFM Segment 2,To Be Classified,0
FFM Segment 5,To Be Classified,0
CombatBlueprint Failed,To Be Classified,0
Paid Media Masterclass JV,Digital Marketing & Content Creation Skills,5
MastermindPLUS Strategy Session App,Entrepreneurship & Business Development,1
Online Summit System Partner,Entrepreneurship & Business Development,3
Dr. Melissa Subscriber,To Be Classified,0
Weight Loss Affiliate,"Fitness, Nutrition & Weight Management",3
Eblast,To Be Classified,0
Advertising Question,Digital Marketing & Content Creation Skills,1
Ditigal Subscription Problem,To Be Classified,0
Platinum Pass $17 Promo Upgrade,To Be Classified,0
Mastermind w/ res fee,Entrepreneurship & Business Development,1
Premium Essential Oils Kit,Holistic Wellness & Natural Living,10
doTERRA EOK UPGRADE YES,Holistic Wellness & Natural Living,1
OILS CLASS FEK ORDER,To Be Classified,0
OILS CLASS OEK ORDER,To Be Classified,0
EOK UPGRADE,To Be Classified,0
FFM Segment 1,To Be Classified,0
(FB) HVWS JV,To Be Classified,0
DOG SUMMIT JV,Targeted Health Solutions & Disease Management,3
RSVP,To Be Classified,0
OP Engineering says: Suspected Spam,To Be Classified,0
HCMS 2023 JV,To Be Classified,0
100+ Summit Opt-Ins,To Be Classified,0
Keto Summit Speaker,"Fitness, Nutrition & Weight Management",3
